FMC_nor,CO2_resp_rate,site,cond__,effect1__,estimate__,se__,lower__,upper__
0.6490065876200833,0.012173101649272329,MLRF,MLRF,284.2216182717552,0.01700674089908922,0.01230296127324596,0.0023331601872720454,0.055316412133434745
0.6590349708309381,0.012173101649272329,MLRF,MLRF,288.6133815592288,0.017273829307072643,0.01232614628290876,0.0023870563605027373,0.0551634727984941
0.6690633540417928,0.012173101649272329,MLRF,MLRF,293.0051448467025,0.01771629929854024,0.012673047685895009,0.0024343555570591267,0.056612161266432294
0.6790917372526476,0.012173101649272329,MLRF,MLRF,297.39690813417616,0.01794120599463239,0.012517032530239076,0.0027131234138465655,0.05741603680602137
0.6891201204635024,0.012173101649272329,MLRF,MLRF,301.7886714216498,0.018159126516585834,0.01268726637976431,0.0027379280207493707,0.05821931998981247
0.6991485036743571,0.012173101649272329,MLRF,MLRF,306.18043470912346,0.018845180315593187,0.013231785977790428,0.0028157233432800975,0.058926195494095154
0.7091768868852119,0.012173101649272329,MLRF,MLRF,310.57219799659714,0.018651522877683367,0.012804127354346542,0.0029047692966270243,0.05940482784438611
0.7192052700960667,0.012173101649272329,MLRF,MLRF,314.9639612840708,0.019303633722012978,0.013146195372939968,0.0029551680713470175,0.06145370415915414
0.7292336533069215,0.012173101649272329,MLRF,MLRF,319.3557245715445,0.019772275688464742,0.01349521760140005,0.0030562692514009343,0.06149285375360752
0.7392620365177762,0.012173101649272329,MLRF,MLRF,323.7474878590181,0.01985698338800134,0.013636808445451233,0.00341655521111377,0.06109213491199095
0.749290419728631,0.012173101649272329,MLRF,MLRF,328.1392511464918,0.020317763549237245,0.013604659839360473,0.0032974036451850846,0.0614851092495729
0.7593188029394857,0.012173101649272329,MLRF,MLRF,332.5310144339654,0.020693110346197936,0.014002138305342277,0.0034030707443757887,0.06239647684240949
0.7693471861503405,0.012173101649272329,MLRF,MLRF,336.9227777214391,0.02110691259751412,0.014147750756490872,0.0033925280066294046,0.062047092881551656
0.7793755693611952,0.012173101649272329,MLRF,MLRF,341.3145410089128,0.021403050843095944,0.014308028185498728,0.0036364480283404767,0.0640099614724874
0.78940395257205,0.012173101649272329,MLRF,MLRF,345.7063042963864,0.02208425673790794,0.014546918330333895,0.003753741620610794,0.06514580627138125
0.7994323357829047,0.012173101649272329,MLRF,MLRF,350.0980675838601,0.02231003995793871,0.014762906059708699,0.0038797215575781824,0.0646079768596784
0.8094607189937595,0.012173101649272329,MLRF,MLRF,354.48983087133377,0.022481814988093936,0.014471863105220459,0.003961978437483128,0.0647902360319638
0.8194891022046142,0.012173101649272329,MLRF,MLRF,358.8815941588074,0.022961259983072933,0.01506784253102105,0.004324132831982642,0.06695497162142895
0.829517485415469,0.012173101649272329,MLRF,MLRF,363.27335744628107,0.023214826413903388,0.015114785323948058,0.00435539177164315,0.06758227559995794
0.8395458686263237,0.012173101649272329,MLRF,MLRF,367.6651207337547,0.023825329429964126,0.015051322930947299,0.0043905294861285625,0.06829641415705882
0.8495742518371786,0.012173101649272329,MLRF,MLRF,372.0568840212284,0.024100113602240084,0.015106767673989687,0.0045481277593689235,0.0673318457160196
0.8596026350480334,0.012173101649272329,MLRF,MLRF,376.4486473087021,0.02462815426852382,0.01535745159918114,0.004637950560404824,0.0681822817608888
0.8696310182588881,0.012173101649272329,MLRF,MLRF,380.84041059617573,0.02519237389965753,0.015560770534970141,0.005080394694809502,0.07139373714395164
0.8796594014697429,0.012173101649272329,MLRF,MLRF,385.2321738836494,0.025407835608181332,0.015568283099737247,0.005094203825367776,0.06958080578421626
0.8896877846805976,0.012173101649272329,MLRF,MLRF,389.62393717112303,0.026038621885868772,0.015712010073916337,0.00523056475411094,0.07198049189664676
0.8997161678914524,0.012173101649272329,MLRF,MLRF,394.0157004585967,0.02630806069052821,0.01631101177990743,0.005322577768647265,0.07170392749954854
0.9097445511023071,0.012173101649272329,MLRF,MLRF,398.4074637460704,0.026417745221152138,0.016138125127321473,0.005263430913325339,0.07394020290466335
0.9197729343131619,0.012173101649272329,MLRF,MLRF,402.799227033544,0.026634255684517764,0.016315681361951127,0.005511404031213413,0.07411355703745025
0.9298013175240166,0.012173101649272329,MLRF,MLRF,407.1909903210177,0.02748240676974254,0.01668204309843955,0.00564169060035076,0.07345083349890719
0.9398297007348714,0.012173101649272329,MLRF,MLRF,411.5827536084913,0.028283259167954752,0.016855143655640437,0.0059724624358094645,0.07637278808931508
0.9498580839457261,0.012173101649272329,MLRF,MLRF,415.974516895965,0.028576158424863107,0.01715795355964466,0.006225469597610891,0.07520670601460652
0.9598864671565809,0.012173101649272329,MLRF,MLRF,420.3662801834387,0.029081220927587394,0.017475790844111175,0.006041959995612121,0.0784989130300947
0.9699148503674357,0.012173101649272329,MLRF,MLRF,424.75804347091236,0.02961861472973549,0.017388608621896548,0.006203972459305425,0.07738081495657648
0.9799432335782905,0.012173101649272329,MLRF,MLRF,429.14980675838603,0.03024820817157517,0.017848467259918076,0.0067086991449518355,0.07885147913544811
0.9899716167891452,0.012173101649272329,MLRF,MLRF,433.54157004585966,0.030515519639061163,0.01755334982804449,0.006804171634740918,0.07879706127554632
1,0.012173101649272329,MLRF,MLRF,437.93333333333334,0.031276889221177315,0.01789604384179717,0.007200473462236645,0.08140176808822303
0.007190062125378686,0.012173101649272329,MLES,MLES,3.1487678734408395,0.005348239463610853,0.00597314595145409,9.962043661330982e-5,0.03350893412668414
0.017218445336233446,0.012173101649272329,MLES,MLES,7.540531160914501,0.005548217568859824,0.006167867311102041,1.2443246692110817e-4,0.0342869482027479
0.02724682854708821,0.012173101649272329,MLES,MLES,11.932294448388163,0.005753535495773279,0.00648393003814956,1.0595929294007598e-4,0.03433061351963006
0.03727521175794297,0.012173101649272329,MLES,MLES,16.324057735861825,0.005955075685916039,0.006460698234815438,1.5231656458092492e-4,0.03456792072791588
0.04730359496879773,0.012173101649272329,MLES,MLES,20.715821023335486,0.005987950854311105,0.006539980682505049,1.440141387883261e-4,0.03462857183088558
0.057331978179652486,0.012173101649272329,MLES,MLES,25.107584310809145,0.006083960033738825,0.00661744116491484,1.532289374464364e-4,0.034694779944691986
