FMC_nor,CO2_resp_rate,T_nor,site,cond__,effect1__,estimate__,se__,lower__,upper__
0.8596026350480334,0.012173101649272329,0.5886961170874608,PNW,PNW,376.4486473087021,0.013362776753268347,0.010842077524934412,0.0011177998435364677,0.05097178241003017
0.8696310182588881,0.012173101649272329,0.5886961170874608,PNW,PNW,380.84041059617573,0.013938622010860765,0.011203067699444931,0.0012364506832941433,0.05121727311825626
0.8796594014697429,0.012173101649272329,0.5886961170874608,PNW,PNW,385.2321738836494,0.014602782095141091,0.0114085660828816,0.0012790883806853336,0.053183453277331365
0.8896877846805976,0.012173101649272329,0.5886961170874608,PNW,PNW,389.62393717112303,0.014846820144650932,0.0119734845674918,0.0013000527573538145,0.052976227753298265
0.8997161678914524,0.012173101649272329,0.5886961170874608,PNW,PNW,394.0157004585967,0.014773443596550029,0.011880729315805359,0.001352856223804922,0.054751635447093945
0.9097445511023071,0.012173101649272329,0.5886961170874608,PNW,PNW,398.4074637460704,0.015183590773393926,0.011928216907909288,0.0014068796778967574,0.05505312771598181
0.9197729343131619,0.012173101649272329,0.5886961170874608,PNW,PNW,402.799227033544,0.015718012476839516,0.012318091500792487,0.0014663461621806178,0.057429940446105665
0.9298013175240166,0.012173101649272329,0.5886961170874608,PNW,PNW,407.1909903210177,0.01592411656986998,0.012695946460826564,0.0017080523344029704,0.05783089429036594
0.9398297007348714,0.012173101649272329,0.5886961170874608,PNW,PNW,411.5827536084913,0.016123325921118793,0.012590260161767558,0.001784535747100827,0.056914272370654675
0.9498580839457261,0.012173101649272329,0.5886961170874608,PNW,PNW,415.974516895965,0.01651442750064137,0.012424148911155161,0.0016265736697329222,0.05821062740414937
0.9598864671565809,0.012173101649272329,0.5886961170874608,PNW,PNW,420.3662801834387,0.017197723606159863,0.012996317286690236,0.0018949502101761532,0.05801293569994879
0.9699148503674357,0.012173101649272329,0.5886961170874608,PNW,PNW,424.75804347091236,0.017311982040304617,0.01307357907947455,0.0020320563431104966,0.058202639684307535
0.9799432335782905,0.012173101649272329,0.5886961170874608,PNW,PNW,429.14980675838603,0.017887752543998336,0.013150837295444459,0.002085188622189002,0.060272676482841826
0.9899716167891452,0.012173101649272329,0.5886961170874608,PNW,PNW,433.54157004585966,0.018293520903639008,0.013433625904054922,0.0023354999062456644,0.06197145065530499
1,0.012173101649272329,0.5886961170874608,PNW,PNW,437.93333333333334,0.018754900932849067,0.013958805574364032,0.0021732190401231033,0.06126049193930133
0.007190062125378686,0.012173101649272329,0.5886961170874608,DRO,DRO,3.1487678734408395,0.007858638579492313,0.007553848441714587,3.7449415798725914e-4,0.03877547325503559
0.017218445336233446,0.012173101649272329,0.5886961170874608,DRO,DRO,7.540531160914501,0.008165682981009944,0.007729886848103321,4.484806276179481e-4,0.03796217402856495
0.02724682854708821,0.012173101649272329,0.5886961170874608,DRO,DRO,11.932294448388163,0.008167072909223718,0.007727753262322083,4.2576071086779054e-4,0.037141984325933894
0.03727521175794297,0.012173101649272329,0.5886961170874608,DRO,DRO,16.324057735861825,0.008520167746482524,0.008095031259966018,4.651113197010697e-4,0.038969846256267676
0.04730359496879773,0.012173101649272329,0.5886961170874608,DRO,DRO,20.715821023335486,0.00861708159141674,0.007995013272992874,4.132189742614719e-4,0.03784238887884829
0.057331978179652486,0.012173101649272329,0.5886961170874608,DRO,DRO,25.107584310809145,0.008888104031885061,0.008386196660670179,5.041110549464265e-4,0.04075530584648412
0.06736036139050726,0.012173101649272329,0.5886961170874608,DRO,DRO,29.499347598282814,0.009299522256194466,0.008340196162129786,5.215848088470592e-4,0.03939771390837772
0.07738874460136201,0.012173101649272329,0.5886961170874608,DRO,DRO,33.89111088575647,0.00915076869038113,0.008327702005286182,5.398325084073005e-4,0.039939558184115785
0.08741712781221678,0.012173101649272329,0.5886961170874608,DRO,DRO,38.282874173230134,0.009621635202393015,0.008802249058345434,5.976470383206779e-4,0.04028092973388223
