site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC,CO2_resp_outlier,CH4_resp_outlier,Dataset
MLRF,131,NA,PIRA,N,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.76,5,0.404,438.76,NA,NA,NA,NA,NA,NA,159.29,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.N,NA,165.9077,159.29,6.6177000000000135,0.03988784125149112,96.0112158748509,NA,159.29,1,159.29,0.07511062831497338,1.1111561721341598e-213,0.9968613941831214,-1.2423236614088326e-6,0.4829153186786198,-0.0029826776325252435,17.634444444444444,906.3333333333331,16.661,0.0038479956806240162,-2.319641837772323e-8,175.44729738213326,No,nonsignificant fit,Pine
MLRF,132,NA,PIRA,N,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.26,5,0.423,462.26,NA,NA,NA,NA,NA,NA,179.94,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.N,NA,187.5397,179.94,7.599700000000013,0.04052315323102262,95.9476846768977,NA,179.94,1,179.94,0.07770381932944508,1.3215353538866857e-175,0.9911423694875936,-4.612273501814008e-6,0.007671303713287559,0.03563696353138568,18.519298245614035,906.3333333333331,16.661,0.0034998089055579846,-7.571292314030752e-8,156.8967433588974,No,No,Pine
MLRF,147,NA,PIRA,O,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.3,5,0.42,443.3,NA,NA,NA,NA,NA,NA,152.27,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.O,NA,165.6925,152.27,13.422499999999985,0.08100849465123638,91.8991505348764,NA,152.27,1,152.27,0.10802981280149783,7.297828056998201e-173,0.99045519912395,-4.3576211390295763e-7,0.8458976462966747,-0.0056916814845366925,18.540350877192985,906.3333333333331,16.661,0.005752970057451329,-8.457674258196423e-9,191.12760228541404,No,nonsignificant fit,Pine
MLRF,148,NA,PIRA,O,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.47,5,0.397,489.47,NA,NA,NA,NA,NA,NA,215.9,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.O,NA,229.67,215.9,13.769999999999982,0.059955588452997706,94.0044411547002,NA,215.9,1,215.9,0.1521133302133582,1.3412364018310534e-209,0.9964921554470028,-3.1171238630080303e-6,0.10091604441604912,0.01001997226629292,18.796666666666667,906.3333333333331,16.661,0.005734803288954166,-4.283100909597746e-8,126.7114404817045,No,nonsignificant fit,Pine
PNW,163,NA,PIRA,U,TI,2,2018-06-05,2019-06-21,0,1,NA,NA,NA,NA,NA,NA,NA,NA,186,5,0.377,186,NA,NA,NA,NA,NA,NA,169.54,NA,NA,NA,NA,NA,1,WET,12,381,PNW.PIRA.U,NA,184.4752,169.54,14.935200000000009,0.08096047598810034,91.90395240119,NA,169.54,1,169.54,0.015542648138814803,1.6976710804074042e-93,0.9170487312648244,-1.0315117479175725e-7,0.9541584288112653,-0.005897432207211173,23.582573099415207,979,28.1025,7.962342436632526e-4,-1.925941138596217e-9,9.70862333372656,No,nonsignificant fit,Pine
PNW,164,NA,PIRA,U,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.91,5,0.395,167.91,NA,NA,NA,NA,NA,NA,152.52,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.U,NA,163.5013,152.52,10.981299999999976,0.06716338035232733,93.2836619647673,NA,152.52,1,152.52,0.00696681258549952,1.0167501840891025e-33,0.5782154994483873,1.8479552163583875e-5,8.356566444763652e-23,0.43305299221229565,27.443801169590643,979,28.1025,3.9021583641243076e-4,3.772377975492069e-7,10.090479937057426,No,No,Pine
PNW,179,NA,PIRA,V,TI,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.82,5,0.399,177.82,NA,NA,NA,NA,NA,NA,161.53,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.V,NA,166.6743,161.53,5.144299999999987,0.030864386411102295,96.9135613588898,NA,161.53,1,161.53,0.012204590683274768,1.5955529947700667e-70,0.8449444665935983,-9.46156430746871e-7,0.693054611435779,-0.004987502888611051,24.461637426900587,979,28.1025,6.5139852739126e-4,-1.8405155652886304e-8,10.084813966445855,No,nonsignificant fit,Pine
PNW,180,NA,PIRA,V,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.31,5,0.397,186.31,NA,NA,NA,NA,NA,NA,170.15,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.V,NA,174.6373,170.15,4.487300000000005,0.025694968944206104,97.4305031055794,NA,170.15,1,170.15,0.004220294717642608,7.098363324813866e-18,0.35230895813988705,-1.1818379052963914e-5,1.0196944319882323e-10,0.21498797111868317,22.903918128654972,979,28.1025,2.1505134702872256e-4,-2.1948775549124681e-7,9.4975022039377,No,No,Pine
PNW,195,NA,PIRA,W,TI,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.98,5,0.416,199.98,NA,NA,NA,NA,NA,NA,182.82,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.W,NA,192.3541,182.82,9.534099999999995,0.049565358887593225,95.0434641112407,NA,182.82,1,182.82,0.003134778361773078,5.110707306584674e-10,0.20018213251133776,-1.0259118727051852e-5,0.014318603268764121,0.029262131426849747,25.934152046783627,979,28.1025,1.4659588952982002e-4,-1.7485497925771683e-7,9.386281588447652,No,No,Pine
PNW,211,NA,PIRA,X,TI,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.18,5,0.407,170.18,NA,NA,NA,NA,NA,NA,154.43,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.X,NA,162.4426,154.43,8.012599999999992,0.049325731058232215,95.0674268941768,NA,154.43,1,154.43,0.00990249262005864,3.400814982871792e-46,0.699443674445899,1.3169964240287022e-5,3.731723995617254e-12,0.2445879398104287,28.12654970760234,979,28.1025,5.452196299379799e-4,2.642801516724432e-7,10.19879557080878,No,No,Pine
