site,SampleID,Species.Code,Etime,CO2d_ppm,CH4d_ppm,CO2_resp_outlier,CH4_resp_outlier
DRO,523,CASU,166,469.0584,1.743435,nonsignificant fit,nonsignificant fit
DRO,523,CASU,167,468.7906,1.747386,nonsignificant fit,nonsignificant fit
DRO,523,CASU,168,468.3632,1.744917,nonsignificant fit,nonsignificant fit
DRO,523,CASU,169,467.9325,1.748182,nonsignificant fit,nonsignificant fit
DRO,523,CASU,170,468.909,1.743699,nonsignificant fit,nonsignificant fit
DRO,524,CASU,0,418.5081,1.753763,No,No
DRO,524,CASU,1,418.2809,1.7502,No,No
DRO,524,CASU,2,418.2317,1.751007,No,No
DRO,524,CASU,3,418.2894,1.749611,No,No
DRO,524,CASU,4,418.6549,1.752315,No,No
DRO,524,CASU,5,418.8558,1.750822,No,No
DRO,524,CASU,6,418.3168,1.751178,No,No
DRO,524,CASU,7,418.4353,1.751839,No,No
DRO,524,CASU,8,418.3667,1.750132,No,No
DRO,524,CASU,9,418.3601,1.752679,No,No
DRO,524,CASU,10,419.1131,1.751442,No,No
DRO,524,CASU,11,418.4308,1.751536,No,No
DRO,524,CASU,12,418.362,1.749775,No,No
DRO,524,CASU,13,418.1398,1.751105,No,No
DRO,524,CASU,14,418.4193,1.751174,No,No
DRO,524,CASU,15,418.4853,1.751771,No,No
DRO,524,CASU,16,418.6165,1.750673,No,No
DRO,524,CASU,17,418.0344,1.75018,No,No
DRO,524,CASU,18,418.4471,1.752799,No,No
DRO,524,CASU,19,418.6129,1.753854,No,No
DRO,524,CASU,20,418.8149,1.75136,No,No
DRO,524,CASU,21,417.8797,1.751056,No,No
DRO,524,CASU,22,418.6496,1.751747,No,No
DRO,524,CASU,23,418.4394,1.754228,No,No
DRO,524,CASU,24,418.4224,1.751301,No,No
DRO,524,CASU,25,418.2316,1.751878,No,No
DRO,524,CASU,26,418.9507,1.751797,No,No
DRO,524,CASU,27,418.4507,1.75131,No,No
DRO,524,CASU,28,418.7224,1.750924,No,No
DRO,524,CASU,29,418.7688,1.753204,No,No
DRO,524,CASU,30,418.3846,1.750932,No,No
DRO,524,CASU,31,418.5339,1.749684,No,No
DRO,524,CASU,32,418.4209,1.752691,No,No
DRO,524,CASU,33,418.3314,1.752564,No,No
DRO,524,CASU,34,419.0182,1.751958,No,No
DRO,524,CASU,35,418.6206,1.751577,No,No
DRO,524,CASU,36,418.7736,1.752743,No,No
DRO,524,CASU,37,418.478,1.74893,No,No
DRO,524,CASU,38,419.1023,1.752029,No,No
DRO,524,CASU,39,418.307,1.751474,No,No
DRO,524,CASU,40,418.9519,1.75258,No,No
DRO,524,CASU,41,418.8651,1.751235,No,No
DRO,524,CASU,42,418.8957,1.751417,No,No
DRO,524,CASU,43,419.2476,1.752864,No,No
DRO,524,CASU,44,418.9925,1.751771,No,No
DRO,524,CASU,45,419.1407,1.753135,No,No
DRO,524,CASU,46,418.3231,1.752305,No,No
DRO,524,CASU,47,418.5861,1.752933,No,No
DRO,524,CASU,48,418.7428,1.750065,No,No
DRO,524,CASU,49,419.0687,1.751557,No,No
DRO,524,CASU,50,418.8942,1.752195,No,No
DRO,524,CASU,51,418.9207,1.750152,No,No
DRO,524,CASU,52,418.6023,1.751452,No,No
DRO,524,CASU,53,418.6819,1.752464,No,No
DRO,524,CASU,54,418.7467,1.751912,No,No
DRO,524,CASU,55,419.3283,1.752573,No,No
DRO,524,CASU,56,418.959,1.751847,No,No
DRO,524,CASU,57,418.876,1.752487,No,No
DRO,524,CASU,58,419.3061,1.751932,No,No
DRO,524,CASU,59,418.8391,1.751327,No,No
DRO,524,CASU,60,419.3366,1.752702,No,No
DRO,524,CASU,61,419.1005,1.751111,No,No
DRO,524,CASU,62,419.5191,1.75192,No,No
DRO,524,CASU,63,419.3522,1.752003,No,No
DRO,524,CASU,64,419.5011,1.753168,No,No
DRO,524,CASU,65,418.7747,1.751173,No,No
DRO,524,CASU,66,419.2171,1.752156,No,No
DRO,524,CASU,67,418.8605,1.751878,No,No
DRO,524,CASU,68,418.9058,1.751623,No,No
DRO,524,CASU,69,419.4414,1.751492,No,No
DRO,524,CASU,70,418.7157,1.751828,No,No
DRO,524,CASU,71,418.9514,1.752137,No,No
DRO,524,CASU,72,419.1556,1.751402,No,No
DRO,524,CASU,73,419.5638,1.753911,No,No
DRO,524,CASU,74,418.9534,1.752039,No,No
DRO,524,CASU,75,418.9992,1.752518,No,No
DRO,524,CASU,76,419.2047,1.751476,No,No
DRO,524,CASU,77,419.8856,1.752015,No,No
DRO,524,CASU,78,419.3645,1.752146,No,No
DRO,524,CASU,79,419.2753,1.751904,No,No
DRO,524,CASU,80,419.4717,1.751126,No,No
DRO,524,CASU,81,419.5232,1.750554,No,No
DRO,524,CASU,82,419.3277,1.752514,No,No
DRO,524,CASU,83,419.2184,1.750767,No,No
DRO,524,CASU,84,419.6205,1.750415,No,No
DRO,524,CASU,85,419.5002,1.751022,No,No
DRO,524,CASU,86,419.5608,1.751574,No,No
DRO,524,CASU,87,419.7518,1.752613,No,No
DRO,524,CASU,88,419.3534,1.75246,No,No
DRO,524,CASU,89,419.3164,1.751222,No,No
DRO,524,CASU,90,419.6617,1.75275,No,No
DRO,524,CASU,91,419.2964,1.750894,No,No
DRO,524,CASU,92,420.0107,1.751633,No,No
DRO,524,CASU,93,419.94,1.751092,No,No
DRO,524,CASU,94,419.0829,1.750189,No,No
DRO,524,CASU,95,419.5118,1.751807,No,No
DRO,524,CASU,96,419.7722,1.750385,No,No
DRO,524,CASU,97,419.4576,1.750838,No,No
DRO,524,CASU,98,419.3755,1.751846,No,No
DRO,524,CASU,99,419.7446,1.752963,No,No
DRO,524,CASU,100,419.5628,1.75298,No,No
DRO,524,CASU,101,418.8922,1.751539,No,No
DRO,524,CASU,102,420.0648,1.752644,No,No
DRO,524,CASU,103,420.1233,1.751673,No,No
DRO,524,CASU,104,419.723,1.752055,No,No
DRO,524,CASU,105,419.5173,1.749722,No,No
DRO,524,CASU,106,419.2095,1.751188,No,No
DRO,524,CASU,107,419.6828,1.752796,No,No
DRO,524,CASU,108,419.5804,1.75234,No,No
DRO,524,CASU,109,419.4773,1.752258,No,No
DRO,524,CASU,110,420.1926,1.751913,No,No
DRO,524,CASU,111,419.6454,1.753627,No,No
DRO,524,CASU,112,420.0633,1.752494,No,No
DRO,524,CASU,113,419.5459,1.752589,No,No
DRO,524,CASU,114,419.5792,1.752105,No,No
DRO,524,CASU,115,419.6512,1.751089,No,No
DRO,524,CASU,116,419.4097,1.750232,No,No
DRO,524,CASU,117,419.8691,1.751765,No,No
DRO,524,CASU,118,419.7666,1.751319,No,No
DRO,524,CASU,119,420.0654,1.752286,No,No
DRO,524,CASU,120,419.8546,1.751635,No,No
DRO,524,CASU,121,420.0104,1.75193,No,No
DRO,524,CASU,122,419.7034,1.750886,No,No
DRO,524,CASU,123,419.3522,1.754074,No,No
DRO,524,CASU,124,419.3965,1.751303,No,No
DRO,524,CASU,125,420.3712,1.752459,No,No
DRO,524,CASU,126,419.405,1.751182,No,No
DRO,524,CASU,127,419.3728,1.753669,No,No
DRO,524,CASU,128,419.7915,1.752824,No,No
DRO,524,CASU,129,419.3878,1.752017,No,No
DRO,524,CASU,130,419.498,1.751326,No,No
DRO,524,CASU,131,420.2774,1.752593,No,No
DRO,524,CASU,132,419.2984,1.75195,No,No
DRO,524,CASU,133,419.704,1.752184,No,No
DRO,524,CASU,134,419.7447,1.751363,No,No
DRO,524,CASU,135,420.4235,1.752816,No,No
DRO,524,CASU,136,420.4017,1.75126,No,No
DRO,524,CASU,137,420.1583,1.752396,No,No
DRO,524,CASU,138,419.9622,1.75154,No,No
DRO,524,CASU,139,420.0275,1.752845,No,No
DRO,524,CASU,140,419.7664,1.752067,No,No
DRO,524,CASU,141,420.2316,1.752559,No,No
DRO,524,CASU,142,420.4728,1.751456,No,No
