site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC,CO2_resp_outlier,CH4_resp_outlier,Dataset
DRO,596,802.95,NONO,A,TE,3,2018-06-06,2020-07-15,0,0,0,1,1,NA,NA,NA,NA,NA,329.12,9,0.91,396.47,2A,0,NA,NA,2.04,394.43,189.67,NA,NA,NA,NA,0.646396878819514,0,WET,24,770,DRO.NONO.A,0.480871130492103,519.024373848129,190.650977106204,328.373396741925,0.632674327618398,36.7325672381602,396.47,190.650977106204,1,190.650977106204,0.2931422079823364,1.7202066604506596e-208,0.9963846247187148,7.385780113758265e-6,2.0102246163048153e-7,0.14312961208267116,21.81953216374269,1004.041,20.02866774411598,0.015824265303320845,1.4530968793935025e-7,107.95592344598501,No,No,Native
DRO,598,810.55,NONO,B,TE,3,2018-06-06,2020-07-15,0,0,1,1,1,NA,NA,NA,NA,NA,416.42,9,0.95,426.26,2A,0,NA,NA,2,424.26,156.52,NA,NA,NA,NA,0.646396878819514,0,WET,24,770,DRO.NONO.B,0.368924715976052,523.936990127157,157.257849431952,366.679140695205,0.699853508350715,30.0146491649285,426.26,157.257849431952,1,157.257849431952,0.3305883207334341,3.546801546632576e-249,0.9988069148969615,4.636741306069199e-6,0.00816425252862813,0.03499828432763641,21.547894736842107,1007.0705,19.59886721826988,0.021568210274317802,1.1025352009845237e-7,171.05801175568638,No,No,Native
DRO,600,828.97,NONO,E,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.8079425274286,5,0.405,710.19,1,0,NA,NA,4.03,705.29,272.49,NA,NA,NA,NA,0.646396878819514,0,WET,12,378,DRO.NONO.E,0.386351713479562,535.843620635013,274.38312339605,261.460497238963,0.487941793408147,51.2058206591853,710.19,274.38312339605,1,274.38312339605,0.2787119180646556,1.6509323576969429e-251,0.9988803747036824,4.344085247318057e-6,0.008200374475024185,0.0349530295864694,23.817076023391813,1013.699,22.803046467496777,0.00907644763015936,5.1559856580340084e-8,158.83151675290824,No,No,Native
DRO,601,148.4,ALSC,C,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.31446083402604,5,0.405,103.86,2,0,NA,NA,3.18,99.73,39.08,9.97,NA,NA,NA,0.316381886795666,0,WET,12,378,DRO.ALSC.C,0.391858016644941,46.9510720004768,40.6983736087436,6.25269839173324,0.133174773765969,86.6825226234031,103.86,50.6683736087436,0.8032303133116646,40.6983736087436,0.04036180310557433,3.3942277607636335e-139,0.9761129472287414,3.0788585691290025e-6,0.045490746346753194,0.017682790608672283,23.261345029239767,1006.4198650627692,22.148061174945635,0.008814444142986563,2.450569959911813e-7,155.1944728761515,No,No,Native
DRO,605,181.53,ALSC,A,TI,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,2,0,63.58,5,0.26,53.05,2A,0,0,0,4.66,50.93,39.05,0,0,0,F,0.316381886795666,0,WET,36,1098,DRO.ALSC.A,0.766738660907127,57.4328039100173,40.6754859611231,16.7573179488941,0.291772590019262,70.8227409980738,53.05,40.6754859611231,1,40.6754859611231,0.10944084959320384,2.9580258447975796e-208,0.9963613575927531,3.6661290709651705e-6,0.016733196994538894,0.027680690517390194,25.911461988304094,1002.635,24.0003716409144,0.024305491402135802,2.96746562165911e-7,30.422535211267625,No,No,Native
DRO,606,163.27,ALSC,A,TE,5,2018-06-06,2021-06-08,0,0,1,0,1,0,NA,0,2,0,197.47,5,0.27,168.11,2A,16.98,0,0,10.13,159.4,30.5,8.39,0,0,F,0.316381886795666,0,WET,36,1098,DRO.ALSC.A,0.191342534504391,51.6556706571284,32.1665934755332,19.4890771815951,0.37728824219429,62.271175780571,185.09,40.5565934755332,0.7931285820378015,32.1665934755332,0.1265346502027988,2.2271213415560822e-227,0.9978391114320188,2.9816761465910133e-6,0.04830621297479344,0.017093512989870496,25.711169590643273,1003.433,22.99076821207743,0.03551763616177863,3.0503386077907147e-7,422.622950819673,No,No,Native
DRO,613,187.91,ALSC,D,TI,5,2018-06-06,2021-06-08,1,0,1,1,0,1,NA,0,1,1,231.2,5,0.27,168.11,2A,16.98,0,0,10.13,159.4,30.5,8.39,0,0,F,0.316381886795666,0,WET,36,1098,DRO.ALSC.D,0.191342534504391,59.4513203477736,32.1665934755332,27.2847268722404,0.458942319743823,54.1057680256177,185.09,40.5565934755332,0.7931285820378015,32.1665934755332,0.1277110715914266,2.0207393905370897e-223,0.9975930380673609,3.808851129192215e-6,0.013757441092896812,0.029668617629848737,26.228654970760235,1004.7815,23.438607865335847,0.03583397972868001,3.895054049123068e-7,422.622950819673,No,No,Native
DRO,614,197.95,ALSC,D,TE,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,2,0,108.28,5,0.27,79.3,2A,2.46,NA,NA,2.6854,72.81,34.224,1.094,NA,NA,NA,0.316381886795666,0,DRY,42,1280,DRO.ALSC.D,0.470045323444582,62.6277944912021,37.2745941491553,25.3532003420468,0.404823458146979,59.5176541853021,81.75999999999999,38.3685941491553,0.9714870970839549,37.2745941491553,0.1392256505147959,7.07669905593545e-219,0.9972757474975973,1.1321475028197105e-5,2.3706254223950806e-7,0.14150751481000012,28.46719298245614,999.5579,25.379246362788994,0.033287330050655387,9.865423079737635e-7,112.74544179523163,No,No,Native
DRO,619,194.64,ALSC,E,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.6878646295799,5,0.405,252.53,2,0,NA,NA,4.82,243.14,61.42,NA,NA,NA,NA,0.316381886795666,0,WET,12,378,DRO.ALSC.E,0.252611664061857,61.5805704459084,63.7920235255408,-2.21145307963241,0,100,252.53,63.7920235255408,1,63.7920235255408,0.11846303837569265,7.084144045985142e-241,0.9985041059287426,5.301739986081747e-6,0.01456293965622502,0.029090188645545467,22.98198830409357,1014.4364385964913,22.416026686865276,0.0166522550257829,2.7161991325073424e-7,295.86453923803344,No,No,Native
DRO,622,221.05,ALSC,C,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,2,0,164.47,5,0.34,141.7,2A,0,0,0,5.12,137.48,38.66,7.55,0,0,F,0.316381886795666,0,WET,36,1098,DRO.ALSC.C,0.281204538842013,69.936216076182,39.8466831539133,30.0895329222687,0.430242506822101,56.9757493177899,141.7,47.396683153913294,0.8407061528866364,39.8466831539133,0.1138792092063265,2.084111145623214e-218,0.9972407018327295,4.431029351766703e-6,0.009659768209020016,0.033275827346144204,23.94280701754386,1004.4635,22.21294144589176,0.025626296321571974,3.6341179872292426e-7,255.61303673047075,No,No,Native
