site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,CO2_resp_rate,CH4_resp_rate,CO2_resp_outlier,CH4_resp_outlier,FMC
DRO,734,335.34,ARPE,D,TE,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,190.77,5,0.32,175.93,2,0,0,0,9.34,165.44,106.63,0,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.D,0.644523694390716,192.46392943638,113.391053554159,79.0728758822214,0.410845170384819,58.9154829615181,175.93,113.391053554159,1,113.391053554159,0.17069204574363425,2.734380771707391e-235,0.998258139012415,1.3417404660795144e-6,0.3893785535441834,-0.001503951457962005,25.666315789473686,1004.7815,0.010752160835150276,3.08037778064364e-8,No,nonsignificant fit,55.15333395854773
DRO,735,331.33,ARPE,A,TI,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,3,0,230.26,5,0.31,184.36,3,30.81,0,0,16.04,169.02,43.51,10.68,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.A,0.257425156786179,190.162443311731,47.4589019051,142.703541406631,0.750429679601344,24.9570320398657,215.17000000000002,58.1389019051,0.816302000037205,47.4589019051,0.222062941416469,1.508403936014606e-257,0.9990502634070676,1.7329493364084408e-6,0.25736540377031836,0.001712256160386727,25.963742690058478,1003.433,0.03342611309960951,9.507112907478978e-8,No,nonsignificant fit,288.4624224316249
DRO,736,343.32,ARPE,A,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.43872217553,5,0.405,271.33,1,0,NA,NA,5.38,263.97,166.93,NA,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.A,0.632382467704663,197.043944218101,171.584334962306,25.4596092557947,0.129207773204207,87.0792226795793,271.33,171.584334962306,1,171.584334962306,0.25402064319485573,1.9923275266130362e-226,0.9977823450908166,-5.262893896842606e-7,0.733593876302101,-0.005225871020662076,21.4993567251462,1005.9725488234404,0.010509028423059976,-7.935442793063884e-9,No,nonsignificant fit,58.132151201102545
DRO,737,335.81,ARPE,B,TI,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,181.34,5,0.29,191.37,1,0,NA,NA,7.37,186.79,144.57,NA,NA,NA,NA,0.573936689438719,0,DRY,18,544,DRO.ARPE.B,0.773970769313132,192.733679680416,148.114786123454,44.6188935569621,0.231505430866818,76.8494569133182,191.37,148.114786123454,1,148.114786123454,0.028061919984640523,2.285167978745782e-128,0.967916229811574,6.176468188256064e-6,2.0956896168633233e-4,0.07286934604610129,31.948947368421052,996.0353,0.0013236813744361192,1.0618404863446818e-7,No,No,29.20384588780535
DRO,738,344.3,ARPE,B,TE,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,198.41,5,0.3,194.88,1,0,NA,NA,3.67,189.73,156.68,NA,NA,NA,NA,0.573936689438719,0,DRY,18,544,DRO.ARPE.B,0.825805091445739,197.606402173751,160.932896220946,36.6735059528054,0.185588652742937,81.4411347257063,194.88,160.932896220946,1,160.932896220946,0.009463055895552604,1.122429138739578e-63,0.8131799929744872,1.5779873761011486e-6,0.36299820572628605,-9.892959064619067e-4,27.110526315789475,995.1439035087719,4.160337150910601e-4,2.528445759584467e-8,No,nonsignificant fit,21.093949451110213
DRO,739,339.54,ARPE,E,TI,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,207.95,5,0.32,168.3,2,26.58,0,0,7.04,159.82,81.58,12.43,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.E,0.510449255412339,194.874463532023,85.9086096858966,108.965853846126,0.559159224205999,44.0840775794001,194.88,98.33860968589659,0.8736000026876253,85.9086096858966,0.21606682194542418,1.8177864968894505e-236,0.9983131327899296,1.6806873545023567e-6,0.2894228686591591,7.60506522946236e-4,24.833157894736843,1006.062,0.01803758358064344,5.113640586206868e-8,No,nonsignificant fit,95.90585927923522
DRO,740,357.97,ARPE,E,TE,2,2018-06-06,2019-12-05,0,0,1,NA,1,NA,NA,NA,NA,NA,210.28,5,0.31,214.08,2,0,NA,NA,4.34,208.91,166.43,NA,NA,NA,NA,0.573936689438719,0,DRY,18,547,DRO.ARPE.E,0.796658848307884,205.452116718378,170.548726245752,34.9033904726265,0.169885767205163,83.0114232794837,214.08,170.548726245752,1,170.548726245752,0.012319505123959061,7.744517362347851e-63,0.8088663930338507,6.178901768788616e-6,3.742283997858144e-4,0.0668714570966219,31.04578947368421,994.67865,5.029789883790493e-4,9.19434650477467e-8,No,No,25.524244427086295
DRO,741,350.7,ARPE,C,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.4277212721687,5,0.405,257.55,1,0,NA,NA,4.57,251.27,173.39,NA,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.C,0.690054523023043,201.279596986159,177.723542404585,23.556054581574,0.117031507089086,88.2968492910914,257.55,177.723542404585,1,177.723542404585,0.30017826121391106,4.614799137287776e-246,0.99870124579823,8.450068399461208e-7,0.5035007909338403,-0.003248919668844552,22.318479532163742,1007.2026684815936,0.011971003163350098,1.2281870891440152e-8,No,nonsignificant fit,44.916085126016256
DRO,742,349.72,ARPE,C,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.94253018053973,5,0.405,276.1,1,0,NA,NA,5.12,258.18,155.4,NA,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.C,0.601905647222868,200.717139030509,166.186149198234,34.530989832275,0.172038073076691,82.7961926923309,276.1,166.186149198234,1,166.186149198234,0.28826133222934236,8.543263454194971e-230,0.9979767964275109,1.8370077039411225e-6,0.2991015364564484,4.989027445779781e-4,23.4893567251462,1006.4198650627692,0.012235805171040021,2.841908799427817e-8,No,nonsignificant fit,66.13899613899594
DRO,743,367.48,ARPE,D,TI,2,2018-06-06,2019-12-03,0,0,0,NA,1,NA,NA,NA,NA,NA,194.78,5,0.31,186.35,2,0,NA,NA,3.4,182.45,154.24,NA,NA,NA,NA,0.573936689438719,0,DRY,18,545,DRO.ARPE.D,0.845382296519595,210.91025463494,157.536990956426,53.373263678514,0.253061491822181,74.6938508177819,186.35,157.536990956426,1,157.536990956426,0.019594734922120858,2.2047860471149474e-97,0.9253805739145766,5.667468260254039e-6,1.573228909192023e-5,0.09945884704139907,30.90432748538012,997.3826,8.688462043437508e-4,9.158948298594828e-8,No,No,18.289678423236825
